successorfail,moneygoal,image,projectdetail,riskchallengedetail,numberofpackage,avemoneypackage,minmoneypackage,maxmoneypackage,category
0,480000,17,691,0,5,10200,3000,20000,フード
1,100000,46,2336,0,6,3086,2306,4648,プロダクト
1,200000,11,819,0,6,7250,3000,11500,地域活性化
1,200000,53,1992,0,7,16451,2760,28600,プロダクト
1,300000,27,1613,0,11,10181,3000,30000,フード
1,2000000,21,1578,0,4,18125,500,28000,プロダクト
1,200000,18,730,0,6,4500,1944,7776,ファッション
1,300000,14,832,0,4,39756,23725,82375,プロダクト
1,50000,28,1040,0,6,5450,1500,15000,プロダクト
0,600000,8,821,0,9,31833,3000,100000,スポーツ
1,300000,13,1145,0,5,9000,3000,20000,フード
1,1500000,28,2008,0,5,125200,3000,500000,フード
1,1000000,35,2754,0,6,15833,3500,33000,フード
1,300000,27,2023,0,10,33440,4800,200000,スタートアップ
1,1000000,17,3712,0,14,260000,19000,3000000,レストラン・バー
1,500000,19,1079,0,6,83083,16000,350000,レストラン・バー
1,50000,11,648,0,3,2000,1000,3000,アニメ・マンガ
1,300000,60,1540,0,6,19200,15400,22400,スポーツ
0,100000,8,1345,0,7,33214,500,200000,音楽
1,200000,18,1653,0,6,11500,8000,15000,フード
1,300000,10,1330,0,4,7425,4050,10800,フード
1,300000,37,829,0,5,20752,13990,29930,プロダクト
1,200000,27,733,0,7,13297,8300,24500,プロダクト
1,100000,17,1363,0,2,19008,19008,19008,プロダクト
1,300000,23,1056,0,8,4715,2500,8820,ファッション
1,400000,27,1280,0,8,4550,2200,10000,プロダクト
1,300000,28,1376,0,4,5650,3400,8500,プロダクト
0,500000,12,1113,0,16,141562,5000,1000000,地域活性化
1,1000000,18,3481,0,14,230607,1000,3000000,レストラン・バー
1,200000,26,462,0,18,5955,5000,9600,ファッション
1,1000000,8,1121,0,10,71250,8500,300000,レストラン・バー
1,1000000,30,2015,0,6,12833,5000,25000,フード
1,1000000,19,1754,0,13,51846,17000,100000,レストラン・バー
1,200000,76,2314,0,8,12895,960,19620,プロダクト
0,300000,21,1577,0,10,15250,3000,100000,フード
1,1000000,17,3101,0,5,33877,6998,82080,プロダクト
1,300000,10,824,0,10,6000,2500,10000,プロダクト
1,3000000,8,349,0,11,183545,1000,1000000,アニメ・マンガ
0,3000000,8,401,0,11,183545,1000,1000000,アニメ・マンガ
1,300000,35,1534,0,7,61571,500,300000,フード
1,1000000,61,2986,0,6,29383,21168,45360,プロダクト
1,300000,20,1521,0,8,9075,5300,11000,プロダクト
0,500000,38,1155,0,12,36735,29130,46730,ファッション
1,1000000,13,672,0,6,31333,1000,100000,ゲーム
0,100000,44,1543,0,3,6012,5400,6480,プロダクト
1,200000,3,772,0,6,33000,3000,100000,アート・写真
1,333333,37,3870,0,3,26666,3333,43333,レストラン・バー
0,1000000,26,3190,0,6,145800,95904,213840,プロダクト
1,500000,16,1916,0,4,10522,3990,19500,地域活性化
1,800000,11,659,0,7,13857,4000,20000,スポーツ
1,300000,38,1990,0,11,40552,1680,163000,プロダクト
1,1000000,22,2949,0,16,35562,12000,80000,レストラン・バー
1,500000,60,1615,0,4,22000,17360,32240,プロダクト
0,1000000,43,2261,0,10,169300,3000,550000,アート・写真
1,150000,22,1986,0,5,10280,2800,14600,ファッション
1,1000000,16,2266,0,9,76103,9480,553000,プロダクト
1,300000,29,1152,0,6,7973,5380,12160,プロダクト
0,100000,6,341,0,6,5333,2500,10000,フード
0,200000,20,1870,0,8,4937,3000,8000,社会貢献
1,150000,42,1079,0,8,5387,500,9000,プロダクト
1,300000,23,580,0,3,17472,15096,19848,プロダクト
0,150000,10,779,0,7,1942,500,5000,ファッション
1,300000,46,1987,0,5,13170,10500,21000,プロダクト
1,500000,32,1475,0,15,81000,500,350000,ファッション
1,500000,52,908,0,9,10455,7800,13600,プロダクト
1,200000,34,538,0,8,70287,23900,222900,プロダクト
1,500000,6,162,0,9,23269,12582,35649,テクノロジー
1,1000000,21,3180,0,16,15375,5000,50000,地域活性化
1,100000,42,951,0,14,6921,2980,19800,ファッション
0,1900000,10,1133,0,11,74045,3500,350000,音楽
1,1000000,5,745,0,4,32000,3000,100000,スポーツ
1,300000,27,2156,0,7,34285,5000,100000,フード
1,150000,19,1438,0,7,3070,1438,5193,プロダクト
1,500000,22,546,0,7,3936,1688,11435,プロダクト
1,600000,41,3010,0,15,17044,8640,30380,ファッション
1,100000,28,1135,0,7,4485,1500,10000,プロダクト
1,600000,17,1352,0,6,48250,3000,250000,レストラン・バー
1,150000,4,274,0,12,21552,8000,30240,ファッション
0,500000,34,2719,0,8,26125,1000,100000,テクノロジー
1,100000,23,825,0,10,21308,15120,29160,プロダクト
1,300000,16,1206,0,7,3816,2086,7548,プロダクト
0,200000,37,1416,0,5,18600,16000,20000,ファッション
1,300000,48,1293,0,7,19942,13900,32000,プロダクト
1,500000,17,1243,0,13,400538,23000,1400000,プロダクト
1,500000,25,1512,0,17,37780,2000,50222,フード
1,500000,82,2297,0,8,8037,4265,13379,プロダクト
1,1000000,17,2217,0,5,7740,4000,13000,フード
1,300000,30,1346,0,5,15304,9720,27200,プロダクト
1,300000,20,922,0,4,5262,3450,8000,プロダクト
1,200000,47,1602,0,9,19525,8400,29800,プロダクト
0,800000,13,896,0,7,177228,2000,1200000,フード
1,100000,21,1845,0,6,7116,1600,16000,プロダクト
1,1000000,19,1504,0,16,97350,1500,1000000,レストラン・バー
1,200000,15,744,0,9,62388,3000,300000,フード
1,300000,39,1501,0,2,6480,5980,6980,プロダクト
1,450000,31,1123,0,12,27425,2700,64000,フード
1,500000,42,3283,0,12,236500,10000,508000,プロダクト
1,1000000,17,1462,0,22,18704,3000,100000,スポーツ
0,200000,16,631,0,8,12632,12225,13040,プロダクト
1,500000,20,982,0,5,12000,1000,50000,社会貢献
1,400000,14,548,0,7,8920,4830,14490,プロダクト
1,2000000,12,1563,0,12,104400,16200,540000,レストラン・バー
1,2000000,34,1970,0,6,33000,3000,100000,地域活性化
0,200000,21,509,0,10,40899,21168,61236,プロダクト
1,500000,6,1714,0,3,11333,8000,16000,地域活性化
0,1000000,15,1480,0,8,22500,20000,25000,ファッション
1,500000,19,2205,0,11,12265,1000,25380,フード
1,700000,11,717,0,5,17960,10800,34020,スポーツ
0,600000,12,1711,0,7,24150,2800,63000,レストラン・バー
1,200000,45,2038,0,13,10436,8960,16640,プロダクト
1,300000,29,1544,0,5,7289,4150,11851,プロダクト
1,100000,47,862,0,6,14373,12440,16400,ファッション
1,200000,53,1656,0,8,14094,8424,20736,プロダクト
1,1000000,31,1578,0,8,24812,2500,67500,フード
1,300000,16,967,0,4,9875,7000,13500,プロダクト
1,150000,8,691,0,3,4053,3040,5700,プロダクト
1,2500000,46,4743,0,14,107978,3240,500000,アニメ・マンガ
1,500000,43,1313,0,7,12022,8560,19440,ファッション
1,500000,22,1083,0,4,6250,3000,10000,フード
0,1500000,3,387,0,3,3666,1000,8000,プロダクト
1,1000000,16,2178,0,5,21600,13000,30000,フード
1,400000,11,1404,0,9,11583,2500,25200,レストラン・バー
1,50000,22,804,0,2,34000,34000,34000,ファッション
1,1000000,11,997,0,6,33000,3000,100000,フード
1,500000,31,2152,0,6,10800,9800,11800,ファッション
1,200000,20,1843,0,5,9520,7100,15700,プロダクト
1,500000,29,1212,0,5,17060,4900,58000,プロダクト
1,400000,6,1150,0,5,38600,3000,100000,映画・映像
0,200000,16,1418,0,5,7700,1000,20000,フード
0,200000,19,650,0,4,9640,3240,23000,プロダクト
0,400000,9,1175,0,5,11300,1000,35000,フード
1,100000,57,2310,0,8,15087,11900,23800,プロダクト
1,500000,12,1011,0,6,5625,5250,6000,プロダクト
1,500000,30,1605,0,10,333750,1000,3000000,プロダクト
1,300000,10,1314,0,6,13500,8500,22500,フード
0,300000,16,1875,0,6,3500,1000,6000,レストラン・バー
1,300000,24,1200,0,8,14089,8996,26989,プロダクト
0,500000,27,3064,0,4,4800,3800,5800,教育
1,200000,16,1499,0,6,10571,6980,20000,プロダクト
1,1000000,16,2383,0,12,53583,12000,110000,レストラン・バー
1,150000,29,1152,0,8,3473,1677,7149,ファッション
1,3000000,23,1311,0,7,38142,2000,100000,映画・映像
1,600000,14,968,0,11,181625,5000,338580,音楽
1,150000,27,610,0,8,36210,9800,90000,プロダクト
0,200000,19,648,0,6,3766,3300,4500,ファッション
1,500000,21,698,0,4,23985,5940,50000,プロダクト
1,500000,37,1359,0,7,26425,1000,81420,ファッション
1,500000,18,1126,0,2,12000,12000,12000,レストラン・バー
1,200000,19,1023,0,4,9600,9500,9700,ファッション
1,300000,28,1198,0,6,8833,5000,16000,レストラン・バー
1,200000,26,1158,0,5,9574,4320,12351,プロダクト
0,1000000,11,1205,0,7,610857,98000,1980000,アート・写真
1,1000000,41,1640,0,4,158400,148500,168300,プロダクト
0,500000,15,1204,0,12,14535,10800,17496,ファッション
1,100000,42,1885,0,11,11945,1800,19000,ファッション
1,100000,21,896,0,5,1180,800,1700,プロダクト
1,300000,23,655,0,10,5593,2710,9288,ファッション
1,300000,28,1717,0,4,7200,3100,11200,プロダクト
1,300000,13,699,0,4,5875,1700,11000,プロダクト
0,5000000,40,1790,0,6,73000,3000,110000,プロダクト
1,300000,19,852,0,10,26590,11880,47680,プロダクト
0,300000,33,1408,0,15,12600,6800,18800,ファッション
1,500000,46,2303,0,4,21700,19200,24800,プロダクト
0,500000,9,536,0,4,7250,4500,9500,プロダクト
1,1000000,56,2793,0,12,16366,7000,29000,テクノロジー
1,100000,32,1103,0,3,3474,2430,5292,プロダクト
1,500000,1,0,0,5,13089,7493,20979,プロダクト
0,300000,10,341,0,12,22997,3950,59000,ゲーム
1,2000000,20,2583,0,17,455516,3000,3000000,スタートアップ
1,10000,65,2035,0,2,16300,15800,16800,テクノロジー
1,100000,32,781,0,3,2913,1780,4980,プロダクト
1,300000,32,994,0,8,8873,890,18900,プロダクト
1,300000,23,721,0,11,17443,11750,29926,プロダクト
1,450000,32,1459,0,8,9665,5940,13500,プロダクト
1,100000,21,905,0,5,43000,15000,100000,フード
1,300000,24,1141,0,5,19600,3000,50000,社会貢献
1,300000,21,950,0,4,11625,1500,30000,フード
1,300000,50,1020,0,9,16640,11580,25170,プロダクト
1,600000,4,484,0,2,4750,4500,5000,プロダクト
1,300000,13,1614,0,6,5250,2500,10000,フード
1,200000,21,2974,0,11,91727,1000,500000,地域活性化
0,300000,0,79,0,5,23112,5400,54000,コスメ・ビューティー
1,300000,36,4098,0,9,27922,5000,120000,フード
1,500000,15,1929,0,6,29000,13000,50000,レストラン・バー
1,300000,21,1121,0,9,7128,4400,11088,テクノロジー
0,500000,16,482,0,4,2700,2030,3222,プロダクト
1,1000000,15,917,0,8,28250,3000,100000,社会貢献
1,200000,32,1701,0,8,40562,6000,140000,ゲーム
1,500000,9,1120,0,6,41416,6000,100000,レストラン・バー
1,200000,58,1344,0,5,8320,4980,12980,プロダクト
1,300000,76,2876,0,8,29675,19000,50700,プロダクト
1,300000,39,1070,0,12,12683,5280,34760,ファッション
1,1500000,16,1765,0,19,32473,1000,100000,音楽
1,1000000,28,2534,0,5,7760,3000,9900,プロダクト
1,150000,30,898,0,6,7040,2900,18600,プロダクト
1,200000,27,2008,0,6,10400,9800,11000,プロダクト
0,1000000,36,1913,0,2,91400,91400,91400,プロダクト
0,200000,9,611,0,3,4400,3900,4900,ファッション
1,200000,92,2202,0,9,13642,10480,19800,プロダクト
0,1000000,12,959,0,10,57100,3000,100000,地域活性化
1,300000,26,540,0,8,11925,1000,32800,ファッション
1,1000000,37,932,0,3,52300,46200,61500,プロダクト
1,1000000,26,1428,0,6,12060,3240,32400,フード
0,30000,6,1005,0,7,2128,500,4500,社会貢献
1,10000,17,1770,0,17,7494,1000,32000,プロダクト
0,250000,18,1218,0,6,39566,11800,65500,プロダクト
1,300000,42,1277,0,5,10756,7776,15552,ファッション
1,100000,32,875,0,5,43015,34980,67960,プロダクト
1,200000,33,2366,0,14,7532,3240,18960,ファッション
0,200000,12,1037,0,6,26500,3500,100000,フード
1,600000,17,1770,0,9,27622,2400,129600,音楽
1,3000000,25,803,0,8,25750,3000,70000,アニメ・マンガ
1,3000000,29,958,0,10,30100,3000,70000,アニメ・マンガ
0,300000,8,824,0,6,3516,1500,7200,フード
1,200000,21,1346,0,6,15166,3000,50000,フード
1,200000,26,1354,0,9,15564,2900,31320,プロダクト
1,300000,31,967,0,7,25040,10680,62300,ファッション
1,100000,23,607,0,5,5990,3840,10512,プロダクト
0,500000,22,2030,0,4,36250,5000,100000,地域活性化
1,150000,21,1592,0,5,7212,5380,11480,プロダクト
0,1000000,14,1544,0,5,19600,3000,50000,ファッション
1,100000,45,1748,0,8,5462,3300,9300,ファッション
1,200000,15,634,0,6,4993,2480,7800,プロダクト
1,200000,13,1257,0,7,39714,5000,200000,レストラン・バー
1,4000000,14,1156,0,26,57476,2000,230000,音楽
0,300000,36,1487,0,14,6335,1600,11000,プロダクト
1,700000,21,2008,0,6,14490,10800,19440,フード
1,200000,23,5456,0,5,10000,2500,20000,フード
1,100000,33,1199,0,5,4960,2200,9800,フード
1,300000,18,699,0,8,14558,5720,26240,プロダクト
0,500000,9,1575,0,4,10400,5800,20000,出版・ジャーナリズム
0,300000,16,848,0,10,15448,9900,19980,ファッション
1,300000,21,1338,0,11,13047,6780,29100,スポーツ
0,1000000,12,1326,0,6,31800,10000,75000,フード
1,500000,27,2158,0,12,11016,3500,26200,プロダクト
0,900000,3,589,0,4,29475,3000,99900,音楽
1,1800000,7,515,0,4,41250,5000,100000,お笑い・エンタメ
1,300000,24,1895,0,3,4300,4000,4600,フード
0,500000,67,2225,0,4,127500,90000,160000,プロダクト
1,150000,19,1747,0,10,10500,3000,50000,映画・映像
1,300000,47,435,0,12,49256,5400,209300,ファッション
1,3000000,13,594,0,17,345208,1080,2160000,演劇・パフォーマンス
1,300000,6,1093,0,11,5090,3000,14000,フード
0,400000,12,621,0,5,10280,5200,15000,フード
1,500000,20,2715,0,8,38812,5000,120000,レストラン・バー
1,1000000,13,1134,0,14,30285,12000,80000,レストラン・バー
1,300000,32,954,0,4,30800,19800,42800,テクノロジー
1,1000000,18,2146,0,7,16405,7800,36000,プロダクト
0,270000,21,597,0,4,14600,2000,25200,ファッション
0,500000,22,379,0,18,3570,2220,5180,プロダクト
1,600000,22,1661,0,11,9136,3000,25000,地域活性化
1,100000,68,1366,0,6,17800,10800,24800,ファッション
1,200000,9,848,0,3,3166,1500,5000,映画・映像
1,300000,18,2606,0,5,33972,3000,100000,フード
1,100000,44,2897,0,7,12574,2950,41000,フード
1,1080000,19,2249,0,8,10712,2900,23000,フード
1,300000,21,2130,0,13,34791,4320,150000,レストラン・バー
1,1000000,28,871,0,2,48600,32400,64800,ファッション
1,100000,31,1761,0,2,11000,10000,12000,プロダクト
0,500000,17,2182,0,5,14900,5500,30000,レストラン・バー
1,100000,15,614,0,8,29187,2500,110000,ファッション
1,300000,29,1414,0,6,29760,17360,44640,テクノロジー
1,300000,39,1204,0,6,10743,8500,12800,プロダクト
0,500000,6,508,0,7,16000,4000,50000,フード
1,200000,14,774,0,8,30050,9800,51800,出版・ジャーナリズム
0,1000000,17,2218,0,9,4666,3000,6000,フード
1,300000,25,923,0,10,12600,6000,25000,レストラン・バー
1,100000,31,846,0,8,9435,2700,18500,プロダクト
1,300000,31,1357,0,6,11583,7776,17496,プロダクト
1,1000000,8,589,0,9,40333,3500,102000,アニメ・マンガ
1,1000000,26,3523,0,15,72266,16000,300000,レストラン・バー
0,400000,14,1517,0,9,22830,10368,30240,プロダクト
1,300000,20,1179,0,7,38731,4080,204000,フード
1,1000000,1,76,0,8,16250,3500,35000,地域活性化
1,500000,3,1352,0,6,39750,2500,200000,出版・ジャーナリズム
0,300000,7,415,0,5,7056,1900,18000,ファッション
1,150000,26,1559,0,13,15115,500,100000,音楽
1,100000,16,976,0,7,6400,3200,14900,コスメ・ビューティー
0,200000,11,873,0,6,20866,5200,34000,スポーツ
1,600000,40,1528,0,8,29762,19800,39200,プロダクト
1,500000,25,1570,0,7,131357,35500,250000,プロダクト
0,200000,25,1463,0,4,3247,840,4320,プロダクト
0,100000,16,918,0,4,4125,1000,6000,フード
1,200000,4,533,0,4,6000,1000,10000,社会貢献
1,500000,31,1286,0,10,10890,1280,18760,プロダクト
0,1500000,20,855,0,6,30000,28000,32000,プロダクト
0,50000,16,709,0,8,1650,500,3000,地域活性化
0,1000000,27,1048,0,8,6750,3000,15000,フード
0,300000,17,1146,0,9,14522,3000,100000,フード
0,300000,6,785,0,3,3000,2500,4000,スポーツ
1,300000,38,2347,0,16,25468,3000,53200,プロダクト
1,300000,43,3606,0,5,8300,3500,15000,フード
1,100000,12,440,0,4,3529,2388,4617,プロダクト
1,500000,4,308,0,6,10296,8100,16200,プロダクト
0,1000000,6,547,0,18,50944,3000,200000,スポーツ
1,500000,26,1397,0,7,25057,3600,63200,地域活性化
1,2000000,11,1290,0,5,22060,9800,52000,プロダクト
1,100000,69,1792,0,6,31525,26600,36100,プロダクト
1,3000000,19,1212,0,23,110098,1000,1500000,映画・映像
1,1000000,34,959,0,7,9742,4000,28800,コスメ・ビューティー
0,300000,7,676,0,5,32796,6980,75000,プロダクト
1,500000,54,2426,0,6,79470,7020,145800,ファッション
1,200000,10,676,0,3,30000,10000,50000,フード
1,500000,0,58,0,8,20300,3000,100000,フード
0,200000,6,477,0,6,31000,1000,100000,アート・写真
0,1000000,13,1132,0,6,9166,5000,20000,地域活性化
1,500000,22,1133,0,5,11196,5500,20000,テクノロジー
1,350000,47,1822,0,12,51133,18000,350000,プロダクト
1,1000000,23,2976,0,6,302100,24300,437400,プロダクト
0,1500000,12,1079,0,8,92750,3000,500000,映画・映像
1,500000,39,2990,0,9,35555,2000,200000,出版・ジャーナリズム
1,1000000,33,2523,0,6,18683,6400,41900,プロダクト
1,200000,13,546,0,6,4856,2700,8000,ファッション
1,500000,30,756,0,12,5625,3000,15500,プロダクト
0,300000,31,1074,0,9,18140,15550,31100,ファッション
0,250000,50,3864,0,12,26958,14500,40000,フード
0,1000000,27,2873,0,8,24750,3000,100000,フード
1,500000,34,697,0,9,4937,3000,8080,プロダクト
1,300000,72,3033,0,8,16975,1800,34800,プロダクト
1,300000,6,1292,0,4,26250,5000,60000,レストラン・バー
1,1000000,17,2528,0,12,45583,14000,150000,レストラン・バー
1,100000,15,967,0,7,2869,2268,3802,プロダクト
1,200000,10,903,0,6,5276,1620,11500,フード
1,300000,1,0,0,5,25860,6900,65000,プロダクト
0,500000,26,729,0,5,3600,2000,6000,フード
1,1000000,9,2462,0,13,34846,6000,90000,レストラン・バー
1,500000,46,2487,0,6,15038,9374,27216,プロダクト
0,200000,13,534,0,3,5150,1250,10900,地域活性化
1,300000,16,428,0,7,33742,22800,47200,ファッション
0,500000,30,1445,0,9,8448,8208,8640,プロダクト
1,200000,30,955,0,10,4972,3430,8190,プロダクト
1,600000,14,839,0,5,22600,3000,50000,地域活性化
0,200000,25,2233,0,8,7550,1069,19245,フード
1,1000000,34,1724,0,9,32088,1200,68500,プロダクト
0,300000,35,1846,0,2,12000,11200,12800,ファッション
1,150000,20,2026,0,5,8560,1300,18000,教育
1,100000,22,677,0,8,3119,2896,3438,プロダクト
0,2000000,14,497,0,7,14071,1000,42000,社会貢献
0,500000,46,1627,0,4,21850,14900,28800,プロダクト
0,200000,28,819,0,7,8000,8000,8000,ファッション
0,300000,22,1375,0,6,21573,1350,109000,プロダクト
0,1000000,29,2025,0,6,113910,500,400000,スポーツ
0,500000,15,1141,0,4,6114,2064,10488,プロダクト
1,300000,18,626,0,7,13285,8000,19000,プロダクト
1,500000,33,804,0,5,34020,9400,88000,プロダクト
1,1000000,24,2408,0,6,45766,5800,75800,コスメ・ビューティー
1,500000,53,1391,0,4,53150,38600,62000,プロダクト
1,1000000,44,2606,0,10,69444,4320,168480,フード
1,200000,56,906,0,6,7813,3980,12480,プロダクト
1,200000,58,990,0,6,8480,3980,13480,プロダクト
1,1000000,1,32,0,12,7069,3150,11900,プロダクト
1,300000,40,1204,0,4,11400,9000,16800,ファッション
0,150000,29,883,0,6,12666,3000,50000,出版・ジャーナリズム
1,100000,16,743,0,12,19641,1980,90000,プロダクト
1,150000,10,501,0,9,20355,1500,130000,アニメ・マンガ
1,50000,27,405,0,7,7018,4790,11190,プロダクト
1,1000000,12,355,0,6,28381,1000,56430,プロダクト
1,1000000,40,2593,0,5,6892,3330,14260,フード
1,2000000,15,1727,0,11,17109,2000,29800,テクノロジー
0,1500000,22,657,0,8,29562,5000,100000,フード
1,200000,42,2164,0,6,10466,4980,17758,プロダクト
0,300000,16,481,0,13,7757,3000,28000,社会貢献
1,100000,49,872,0,6,11293,8400,16800,プロダクト
1,500000,9,239,0,14,123164,90000,222000,プロダクト
1,300000,11,1299,0,6,4800,3400,5940,フード
1,300000,18,1031,0,6,8897,7084,10900,プロダクト
1,100000,12,672,0,8,5083,2430,8900,プロダクト
0,250000,92,3356,0,6,45500,12600,84000,フード
0,750000,16,1262,0,6,29333,1000,80000,アート・写真
1,100000,29,2831,0,7,16385,3500,54000,フード
1,250000,37,1920,0,8,6712,2700,10800,フード
1,500000,27,1240,0,6,41163,1250,92800,プロダクト
1,150000,27,379,0,6,6400,3100,9900,プロダクト
0,500000,17,672,0,6,36333,9000,150000,レストラン・バー
1,300000,26,959,0,8,5693,2650,9950,フード
0,300000,28,1393,0,8,14850,5400,32400,プロダクト
1,100000,66,1052,0,9,38480,34980,41980,プロダクト
1,300000,15,942,0,7,12328,4500,36000,フード
1,100000,31,1200,0,7,12222,8970,17940,プロダクト
1,300000,15,859,0,4,11205,9720,12420,ファッション
1,1000000,25,1216,0,5,42920,25000,75200,プロダクト
1,300000,51,941,0,7,14015,8800,18460,プロダクト
1,100000,18,770,0,7,4873,2720,8400,プロダクト
1,300000,1,181,0,8,80595,17880,298800,プロダクト
1,1000000,31,1195,0,3,16520,10760,25340,ファッション
1,300000,38,1515,0,6,11940,6230,31150,プロダクト
1,500000,23,1319,0,9,12096,4536,17496,プロダクト
0,300000,11,960,0,6,109716,15300,298000,出版・ジャーナリズム
1,100000,25,377,0,6,6291,2000,12000,ファッション
1,1000000,14,1729,0,9,53666,23000,100000,レストラン・バー
1,1500000,24,3323,0,15,41000,3000,300000,社会貢献
1,300000,30,1488,0,3,45630,38610,49140,プロダクト
0,500000,10,593,0,5,8000,3000,20000,地域活性化
1,300000,22,1646,0,4,6375,3500,10000,レストラン・バー
1,500000,23,1593,0,12,9144,8946,9244,プロダクト
1,200000,23,1117,0,6,5013,2780,8980,プロダクト
0,250000,11,632,0,7,8650,5443,13608,プロダクト
1,500000,9,529,0,5,33813,17404,74588,テクノロジー
1,100000,26,993,0,9,4911,1800,20000,プロダクト
1,300000,29,1529,0,16,7277,500,12420,プロダクト
1,100000,48,1569,0,9,5137,2600,9950,プロダクト
0,350000,25,3377,0,10,85300,27000,206500,スタートアップ
1,500000,14,287,0,7,11172,2450,31500,プロダクト
1,300000,42,1212,0,4,16200,16200,16200,プロダクト
1,1000000,28,2298,0,9,41111,14000,150000,レストラン・バー
0,300000,8,487,0,2,106920,97200,116640,プロダクト
0,500000,26,1289,0,7,18142,2800,43200,出版・ジャーナリズム
1,300000,21,1365,0,4,20012,16243,24106,プロダクト
1,300000,60,1825,0,4,8370,5400,10800,プロダクト
1,300000,51,6491,0,16,41925,3900,98000,ファッション
0,3000000,22,2289,0,5,56700,21600,162000,プロダクト
0,500000,5,700,0,6,12083,3000,30000,社会貢献
1,2000000,21,1765,0,3,193500,180600,206400,スポーツ
1,1000000,34,2076,0,4,17100,11700,22500,プロダクト
0,300000,24,1219,0,2,2250,2000,2500,アート・写真
0,300000,19,656,0,12,8200,6300,10350,コスメ・ビューティー
1,500000,15,3095,0,8,15891,8160,40800,プロダクト
1,1000000,32,1268,0,8,27125,3000,100000,フード
1,100000,16,710,0,9,22844,9600,68800,プロダクト
1,200000,45,1379,0,4,23875,19500,37000,ファッション
0,300000,27,2057,0,18,71111,1000,1000000,演劇・パフォーマンス
0,300000,14,887,0,3,4033,1100,8800,地域活性化
0,1000000,25,2188,0,11,567654,3500,4000000,レストラン・バー
1,200000,55,1737,0,5,8240,4500,17800,ファッション
1,100000,69,2543,0,7,8285,4500,13000,プロダクト
1,500000,32,770,0,9,20531,9800,34800,ファッション
1,100000,49,2247,0,8,8262,1000,15000,地域活性化
1,5000000,4,669,0,9,73000,3000,300000,音楽
1,100000,22,1762,0,9,15222,1000,50000,社会貢献
1,200000,8,415,0,7,48714,3000,200000,レストラン・バー
0,300000,10,1155,0,7,7714,3000,20000,社会貢献
0,300000,6,730,0,7,96571,1000,500000,レストラン・バー
1,500000,34,1231,0,6,13940,6840,36000,プロダクト
1,200000,11,429,0,6,5716,4050,8620,プロダクト
1,1000000,15,3974,0,17,29058,8000,65000,レストラン・バー
1,300000,36,2556,0,7,11857,3000,33000,フード
0,1500000,13,1685,0,4,6500,3000,10000,出版・ジャーナリズム
1,500000,6,1512,0,7,114000,3000,500000,出版・ジャーナリズム
1,668250,24,1844,0,11,29590,25000,32000,プロダクト
1,300000,34,1278,0,7,52225,16740,162540,プロダクト
0,500000,31,1424,0,6,388616,3900,1296000,スタートアップ
1,1000000,14,3357,0,11,30590,8000,52000,レストラン・バー
0,500000,45,2028,0,6,70066,16800,126600,プロダクト
1,300000,9,707,0,7,17142,3000,40000,社会貢献
1,100000,49,1627,0,13,6803,4830,10350,プロダクト
1,200000,24,244,0,6,10363,2980,26580,プロダクト
1,500000,26,1128,0,7,14302,5290,37800,プロダクト
0,100000,43,1564,0,7,4480,1480,12744,プロダクト
1,300000,61,2580,0,6,16350,3300,24500,ファッション
1,150000,21,914,0,5,4468,3340,7160,プロダクト
0,500000,8,1071,0,6,48500,2000,95000,プロダクト
1,100000,33,945,0,10,3074,1512,5670,プロダクト
1,500000,14,2397,0,9,30455,20000,94500,プロダクト
1,300000,24,1519,0,9,2561,1500,3800,フード
1,300000,16,1581,0,8,10645,3980,36800,プロダクト
1,500000,14,3191,0,9,55044,5400,300000,レストラン・バー
1,300000,25,1810,0,7,13000,9180,24300,プロダクト
1,800000,46,2348,0,15,16812,14580,20520,プロダクト
1,100000,12,889,0,9,14102,4374,26093,ファッション
1,600000,40,1837,0,7,14564,11016,21384,ファッション
1,297140,17,1087,0,3,10326,5980,14000,フード
0,2160000,18,1164,0,5,8424,1080,21600,出版・ジャーナリズム
1,150000,32,1318,0,6,5411,2108,15000,プロダクト
1,120000,8,1111,0,8,9862,3000,30000,プロダクト
1,800000,6,595,0,5,23600,3000,50000,教育
1,300000,61,4071,0,7,38725,6480,108000,プロダクト
0,1000000,9,687,0,6,6493,4823,9773,プロダクト
1,500000,48,2591,0,6,125524,756,169516,プロダクト
1,200000,25,1564,0,9,5622,1000,15000,レストラン・バー
